"","method","est.period","n.win.sector","Ave.CAGR","std.dev","Sharpe.ratio"
"124","Sector Momentum",6,9,0.086346919775549,0.278500783851566,0.310041927284376
"125","Sector Momentum",6,10,0.0772050146786017,0.265387383537545,0.290914412167899
"126","Sector Momentum",6,11,0.0762939098118502,0.262099575272115,0.291087498835666
"127","Sector Momentum",6,12,0.0725953424239597,0.263026553069524,0.276000052377872
"128","Sector Momentum",6,13,0.0711026264314344,0.26249602915371,0.270871245788632
"129","Sector Momentum",6,14,0.0742726759368515,0.25779888310678,0.28810317190586
"130","Sector Momentum",6,15,0.0725717044061758,0.257262318230152,0.282092243067062
"131","Sector Momentum",6,16,0.0709041654155386,0.255573477958389,0.277431625464215
"132","Sector Momentum",6,17,0.0677193883762726,0.255631043610406,0.264910659596884
"133","Sector Momentum",6,18,0.0628119959739352,0.257572871366598,0.243861069842779
"134","Sector Momentum",6,19,0.0625684623713503,0.257782513376129,0.242718024399339
"135","Sector Momentum",6,20,0.0648894398465139,0.259832645048481,0.249735516622272
"136","Sector Momentum",6,21,0.0688552488838925,0.264269152427432,0.260549701890765
"137","Sector Momentum",6,22,0.0683317403275332,0.267145211803162,0.255785008708602
"138","Sector Momentum",6,23,0.0727944448273,0.267872719116442,0.271750124713734
"139","Sector Momentum",7,1,-0.0159560755271526,0.303821914713459,-0.0525178558702755
"140","Sector Momentum",7,2,0.0931288410827719,0.306394019923757,0.303951236078126
"141","Sector Momentum",7,3,0.0650911121393322,0.276021718979229,0.235818805781114
"142","Sector Momentum",7,4,0.0389426552876126,0.275809696505361,0.141193931109147
"143","Sector Momentum",7,5,0.049255510828065,0.276302828861342,0.178266400785867
"144","Sector Momentum",7,6,0.056846222342352,0.271078518874056,0.209703898997482
"145","Sector Momentum",7,7,0.0605912874940465,0.268416648993158,0.225735950885785
"146","Sector Momentum",7,8,0.0596483355199084,0.246711951361997,0.241773190113466
"147","Sector Momentum",7,9,0.0579198103865894,0.250043038728994,0.231639363691165
"148","Sector Momentum",7,10,0.0593212106542216,0.248572940599101,0.238647096949684
"149","Sector Momentum",7,11,0.0560143831413266,0.236688455789478,0.236658703756758
"150","Sector Momentum",7,12,0.0558233727367722,0.234915781547282,0.237631428459549
"151","Sector Momentum",7,13,0.0557240900745232,0.231588818866431,0.240616495853636
"152","Sector Momentum",7,14,0.0541488367089241,0.230266816619352,0.235156925795505
"153","Sector Momentum",7,15,0.0525602337077895,0.228011632926607,0.230515579548118
"154","Sector Momentum",7,16,0.0564734701729636,0.225181530609411,0.250790862021982
"155","Sector Momentum",7,17,0.0543826512649372,0.225698701339293,0.240952433231699
"156","Sector Momentum",7,18,0.0574764006454942,0.225844179951766,0.254495823880737
"157","Sector Momentum",7,19,0.059905659986919,0.231338411463752,0.258952499966938
"158","Sector Momentum",7,20,0.0597637960354529,0.23513253650653,0.254170677199296
"159","Sector Momentum",7,21,0.061234523634822,0.243187112663728,0.251800035635504
"160","Sector Momentum",7,22,0.0614388653011428,0.247852351046246,0.247884940537357
"161","Sector Momentum",7,23,0.0644259440635588,0.249178486016526,0.258553397179265
"162","Sector Momentum",8,1,0.0114548110854157,0.320328664497152,0.035759556839527
"163","Sector Momentum",8,2,0.123447181449777,0.28458700687059,0.433776590179719
"164","Sector Momentum",8,3,0.0913761465703335,0.279597480384274,0.326813197474983
"165","Sector Momentum",8,4,0.0774410335273489,0.261778516139972,0.295826543252088
"166","Sector Momentum",8,5,0.070702347433549,0.250047849593626,0.282755270834975
"167","Sector Momentum",8,6,0.0623289773821693,0.236815723708242,0.263196110486983
"168","Sector Momentum",8,7,0.0679358565954031,0.221839135999025,0.306239276895226
"169","Sector Momentum",8,8,0.0665370893056867,0.219437405179229,0.303216715725113
"170","Sector Momentum",8,9,0.0573333543391917,0.211887928354613,0.270583391816637
"171","Sector Momentum",8,10,0.0539783965780873,0.214097606616395,0.252120504433298
"172","Sector Momentum",8,11,0.0575504804536987,0.209940844914206,0.274127126035036
"173","Sector Momentum",8,12,0.0607782784033285,0.21051797934061,0.28870825472342
"174","Sector Momentum",8,13,0.0558466366782364,0.209996665503188,0.265940587887043
"175","Sector Momentum",8,14,0.0617282117178228,0.209810901323912,0.294208791479929
"176","Sector Momentum",8,15,0.0642959537318823,0.212867932083723,0.302046217589007
"177","Sector Momentum",8,16,0.0674970998323443,0.216936697285633,0.311137307227801
"178","Sector Momentum",8,17,0.0670221327813581,0.216579097556794,0.309457992656852
"179","Sector Momentum",8,18,0.0656377273310925,0.215962787011263,0.303930729175435
"180","Sector Momentum",8,19,0.0678913558890571,0.219727240534482,0.308980150680966
"181","Sector Momentum",8,20,0.0668548950247767,0.221578512334914,0.301721021232086
"182","Sector Momentum",8,21,0.067673464884852,0.224373850454808,0.301610302393426
"183","Sector Momentum",8,22,0.0669317902934585,0.226382601050651,0.295657837584802
"184","Sector Momentum",8,23,0.064436192937609,0.229351164678737,0.280949926841958
"185","Sector Momentum",9,1,0.0289756574029792,0.282006507747306,0.102748187034546
"186","Sector Momentum",9,2,0.0644137780565251,0.287563732880234,0.223998267832169
"187","Sector Momentum",9,3,0.0733164898247538,0.29259168919199,0.250576118642405
"188","Sector Momentum",9,4,0.0564662048614674,0.271326874452871,0.208111360053556
"189","Sector Momentum",9,5,0.0531735122370986,0.254957404273165,0.208558415428986
"190","Sector Momentum",9,6,0.0482817607881519,0.256071664037911,0.188547846438034
"191","Sector Momentum",9,7,0.0573058635285038,0.241182486397466,0.237603751352262
"192","Sector Momentum",9,8,0.0647631258938734,0.23732201480484,0.27289135374622
"193","Sector Momentum",9,9,0.0604593470311603,0.239781343644934,0.252143666025527
"194","Sector Momentum",9,10,0.0528816360327504,0.24844481993989,0.212850628342925
"195","Sector Momentum",9,11,0.0571830988426444,0.241316115569971,0.236963448162516
"196","Sector Momentum",9,12,0.0605922316396887,0.251573725599878,0.240852781804643
"197","Sector Momentum",9,13,0.0646491297750895,0.254018156215106,0.254505940592466
"198","Sector Momentum",9,14,0.0618454461051892,0.254008420005289,0.243477937085319
"199","Sector Momentum",9,15,0.0665477016320531,0.261982524153825,0.254015804477779
"200","Sector Momentum",9,16,0.0679875775493989,0.262763471665044,0.258740597079893
"201","Sector Momentum",9,17,0.0663061729936874,0.261383309811587,0.253674088990161
"202","Sector Momentum",9,18,0.0663862557967414,0.265162186027968,0.25036094622383
"203","Sector Momentum",9,19,0.0683539546637718,0.271347482015201,0.251905616208897
"204","Sector Momentum",9,20,0.0779143249029745,0.284679109376587,0.273691754458546
"205","Sector Momentum",9,21,0.0746364289648492,0.287773656145377,0.259358100962322
"206","Sector Momentum",9,22,0.0712325933146719,0.289604111901547,0.245965407213859
"207","Sector Momentum",9,23,0.0711631290111613,0.294283183194693,0.241818537636521
"208","Sector Momentum",10,1,0.0517626878145524,0.243855890057,0.212267531460705
"209","Sector Momentum",10,2,0.0504118741327709,0.234621578581532,0.214864610653247
"210","Sector Momentum",10,3,0.069345503433461,0.246881589095868,0.2808856816234
"211","Sector Momentum",10,4,0.0716518240868241,0.2427448912279,0.295173355551917
"212","Sector Momentum",10,5,0.0584921911255614,0.228239080325064,0.256275967473472
"213","Sector Momentum",10,6,0.0438184178327517,0.226693324596838,0.193293816263361
"214","Sector Momentum",10,7,0.0430173074720292,0.221457368742414,0.194246448950021
"215","Sector Momentum",10,8,0.0365877932507224,0.222187826482496,0.16467055747361
"216","Sector Momentum",10,9,0.0438769412420122,0.219620294357048,0.199785458672955
"217","Sector Momentum",10,10,0.0432213621324371,0.215582333783678,0.200486567585852
"218","Sector Momentum",10,11,0.0480089610660554,0.214199846737412,0.224131631265403
